date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:13	98566/98566	---M--	200	added ('OK')	image/png	etag:%228b147d5ecad6866cda81204a10388ad5%22	http://product.hstatic.net/200000281647/product/daisy_copy_2813b570d156420cb49c781a48ec7e41_grande.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/daisy_copy_2813b570d156420cb49c781a48ec7e41_grande.png	(from https://onthecard.vn/)
15:58:22	62196/62196	---M--	200	added ('OK')	image/png	etag:%22568709759fd482116243a8e87733db6a%22	http://product.hstatic.net/200000281647/product/hologram__eec4abfe1d6d44b7b1f0f9dc2391524c_large.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/hologram__eec4abfe1d6d44b7b1f0f9dc2391524c_large.png	(from https://onthecard.vn/)
15:58:25	15434/15434	---M--	200	added ('OK')	image/png	etag:%225510a7ea18754c9ebf16ef4d46185491%22	http://product.hstatic.net/200000281647/product/hologram2_959ea2b74d8a49bbbd033e2352990f99_medium.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/hologram2_959ea2b74d8a49bbbd033e2352990f99_medium.png	(from https://onthecard.vn/)
15:58:27	88601/88601	---M--	200	added ('OK')	image/png	etag:%22b4a101f1e5c49c2c546082b6874441d0%22	http://product.hstatic.net/200000281647/product/hologram__eec4abfe1d6d44b7b1f0f9dc2391524c_grande.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/hologram__eec4abfe1d6d44b7b1f0f9dc2391524c_grande.png	(from https://onthecard.vn/)
15:58:34	58053/58053	---M--	200	added ('OK')	image/png	etag:%22558cd6e3bd9639c59954cdaa5544c0a8%22	http://product.hstatic.net/200000281647/product/hologram2_959ea2b74d8a49bbbd033e2352990f99_large.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/hologram2_959ea2b74d8a49bbbd033e2352990f99_large.png	(from https://onthecard.vn/)
15:58:43	504007/504007	---MCZ	200	added ('OK')	text/html	etag:W/%22a650fda9fe634eb6b0adec796987dd65%22	https://onthecard.vn/products/popon-white	G:/backup/onthecard_v2/onthecard.vn/products/popon-white.html	(from https://onthecard.vn/)
15:58:44	92684/92684	---M--	200	added ('OK')	image/png	etag:%221b127983c4bd98363565259eab1a5dc9%22	http://product.hstatic.net/200000281647/product/hologram2_959ea2b74d8a49bbbd033e2352990f99_grande.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/hologram2_959ea2b74d8a49bbbd033e2352990f99_grande.png	(from https://onthecard.vn/)
15:58:45	15384/15384	---M--	200	added ('OK')	image/png	etag:%221e2ead7a2c3111c9aba27a5e54343657%22	http://product.hstatic.net/200000281647/product/white_copy_d37bea949dab4575a4318426b7550865_medium.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/white_copy_d37bea949dab4575a4318426b7550865_medium.png	(from https://onthecard.vn/)
15:58:52	42386/42386	---M--	200	added ('OK')	image/png	etag:%227c8814c0ebb818659014c63ae31ce111%22	http://product.hstatic.net/200000281647/product/white_copy_d37bea949dab4575a4318426b7550865_large.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/white_copy_d37bea949dab4575a4318426b7550865_large.png	(from https://onthecard.vn/)
15:58:54	13920/13920	---M--	200	added ('OK')	image/png	etag:%22165e97c17ac3bd67e6d70f4a2f9423b0%22	http://product.hstatic.net/200000281647/product/white2_256d7f7bbc43450d812da8128ae9b8fe_medium.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/white2_256d7f7bbc43450d812da8128ae9b8fe_medium.png	(from https://onthecard.vn/)
